learning_modality,year,student_count,state,population,abbreviation,student_count_per_capita
Remote,2022,2316,Colorado,5684926,CO,0.00040739316571578943
Remote,2022,1001,District of Columbia,701974,DC,0.0014259787399533315
Remote,2022,2736,Delaware,967679,DE,0.002827383874197952
Remote,2022,10676,Georgia,10516579,GA,0.0010151590170149438
Remote,2022,621,Idaho,1754367,ID,0.000353973826457064
Remote,2022,3152,Illinois,12716164,IL,0.0002478734939247402
Remote,2022,4765,Indiana,6696893,IN,0.0007115239858244711
Remote,2022,35367,Kentucky,4461952,KY,0.007926351516107748
Remote,2022,17991,Louisiana,4664616,LA,0.0038569091217797993
Remote,2022,99808,Maryland,6037624,MD,0.01653100623689054
Remote,2022,7745,Michigan,9973907,MI,0.0007765261897870112
Remote,2022,7063,Minnesota,5600166,MN,0.0012612126140546548
Remote,2022,1652,Missouri,6124160,MO,0.0002697512801755669
Remote,2022,1426,Mississippi,2981835,MS,0.0004782290099888156
Remote,2022,277,Montana,1061705,MT,0.00026090109776256114
Remote,2022,342,North Carolina,10386227,NC,3.292822311701834e-05
Remote,2022,1648,North Dakota,760394,ND,0.0021672974799906365
Remote,2022,5535,New Jersey,8885418,NJ,0.0006229307388802643
Remote,2022,1894,New Mexico,2097021,NM,0.0009031859957530229
Remote,2022,10460,New York,19514849,NY,0.0005360020976846913
Remote,2022,4853,Ohio,11675275,OH,0.00041566472738329503
Remote,2022,3599,Oklahoma,3949342,OK,0.0009112910454450387
Remote,2022,3124,Oregon,4176346,OR,0.0007480223142431207
Remote,2022,33972,Pennsylvania,12794885,PA,0.002655123512247277
Remote,2022,2129,South Carolina,5091517,SC,0.00041814649739949805
Remote,2022,2135,South Dakota,879336,SD,0.002427968376138359
Remote,2022,17329,Texas,28635442,TX,0.0006051591590589033
Remote,2022,6561,Utah,3151239,UT,0.0020820382078287304
Remote,2022,696,Washington,7512465,WA,9.264602231091925e-05
Remote,2022,52175,Wisconsin,5806975,WI,0.008984884556933687
