cases,deaths,year,state,population,abbreviation,cases_per_capita,deaths_per_capita
782482,11578,2021,Tennessee,6772268,TN,0.11554209018308194,0.0017096192885455803
2742559,47199,2021,Texas,28635442,TX,0.09577498402154924,0.0016482720958174838
380398,2041,2021,Utah,3151239,UT,0.12071378908423004,0.0006476817531136166
17247,217,2021,Vermont,624340,VT,0.027624371336130955,0.0003475670307845084
600550,10182,2021,Virginia,8509358,VA,0.07057524198652824,0.0011965650052565657
355706,5225,2021,Washington,7512465,WA,0.04734877300593081,0.0006955107278370016
136716,2570,2021,West Virginia,1807426,WV,0.07564127106725255,0.0014219116024667122
627949,7211,2021,Wisconsin,5806975,WI,0.1081370248709526,0.0012417825115486117
55479,693,2021,Wyoming,581348,WY,0.09543165195373511,0.0011920570811286872
510579,10425,2021,Alabama,4893186,AL,0.10434489921290546,0.002130513738901403
60683,296,2021,Alaska,736990,AK,0.08233897339176922,0.0004016336720986716
835056,16695,2021,Arizona,7174064,AZ,0.11639929613117474,0.002327132849665127
328273,5529,2021,Arkansas,3011873,AR,0.10899297546742509,0.0018357347736773762
3638641,57417,2021,California,39346023,CA,0.09247798691115491,0.0014592834452417211
450349,6142,2021,Colorado,5684926,CO,0.07921809360403284,0.0010804010465571584
296691,7832,2021,Connecticut,3570549,CT,0.08309394437662107,0.0021935002152330078
91635,1522,2021,Delaware,967679,DE,0.09469565837431627,0.0015728356200764924
43034,1047,2021,District of Columbia,701974,DC,0.06130426483032135,0.0014915082324986396
1999249,32650,2021,Florida,21216924,FL,0.09422897494471866,0.0015388658601030007
1017114,17903,2021,Georgia,10516579,GA,0.09671529116074723,0.0017023596741868245
28678,449,2021,Hawaii,1420074,HI,0.020194722246868826,0.00031618070607588054
177292,1944,2021,Idaho,1754367,ID,0.10105753243192558,0.0011080919784742873
1222043,23304,2021,Illinois,12716164,IL,0.09610154445947693,0.0018326281416313913
679529,12922,2021,Indiana,6696893,IN,0.10146929329765311,0.0019295515099315458
345304,5673,2021,Iowa,3150011,IA,0.10961993466054563,0.0018009460919342821
302223,4842,2021,Kansas,2912619,KS,0.10376331404828439,0.0016624213465612908
423499,5744,2021,Kentucky,4461952,KY,0.09491339216558134,0.001287328953785249
439737,9988,2021,Louisiana,4664616,LA,0.09427078241810258,0.0021412266304450356
48070,728,2021,Maine,1340825,ME,0.03585106184625138,0.0005429493036003953
398083,8132,2021,Maryland,6037624,MD,0.06593371829713146,0.0013468874510900314
610481,16803,2021,Massachusetts,6873003,MA,0.08882303703344811,0.0024447828700205716
686584,16848,2021,Michigan,9973907,MI,0.06883801904308913,0.0016892076495198922
502961,6839,2021,Minnesota,5600166,MN,0.08981180200729764,0.0012212137997337936
302316,6945,2021,Mississippi,2981835,MS,0.10138589157347741,0.002329102716951139
581380,8813,2021,Missouri,6124160,MO,0.0949322029470164,0.0014390544989027066
102900,1410,2021,Montana,1061705,MT,0.09691957747208499,0.0013280525192967915
206470,2243,2021,Nebraska,1923826,NE,0.10732259570252195,0.0011659058563508343
300696,5161,2021,Nevada,3030281,NV,0.09923040140501821,0.001703142381845116
79996,1213,2021,New Hampshire,1355244,NH,0.05902700915849839,0.0008950417784546546
857739,24103,2021,New Jersey,8885418,NJ,0.09653333135255988,0.0027126467207282765
189374,3884,2021,New Mexico,2097021,NM,0.0903062010347059,0.001852151218323517
1772624,48848,2021,New York,19514849,NY,0.09083462546904668,0.002503119547581434
894586,11833,2021,North Carolina,10386227,NC,0.08613195147766364,0.0011392972635780058
101545,1491,2021,North Dakota,760394,ND,0.13354261080439878,0.0019608255720060916
997336,18340,2021,Ohio,11675275,OH,0.08542291295065856,0.0015708409437893325
434491,4788,2021,Oklahoma,3949342,OK,0.11001604824297313,0.0012123538554017353
161068,2369,2021,Oregon,4176346,OR,0.03856672794830696,0.0005672422735089477
985595,24817,2021,Pennsylvania,12794885,PA,0.07703039144157997,0.001939603208625947
133039,2595,2021,Rhode Island,1057798,RI,0.1257697594436745,0.002453209402929482
538801,8966,2021,South Carolina,5091517,SC,0.10582327428151571,0.001760968292946876
115518,1919,2021,South Dakota,879336,SD,0.13136957886405196,0.0021823284842199114
784120,11606,2021,Tennessee,6772268,TN,0.11578395893369843,0.0017137537971031271
2746452,47365,2021,Texas,28635442,TX,0.09591093442874044,0.0016540691077860784
380844,2058,2021,Utah,3151239,UT,0.12085532071670857,0.0006530764565937398
17393,217,2021,Vermont,624340,VT,0.027858218278502097,0.0003475670307845084
602182,10092,2021,Virginia,8509358,VA,0.07076703083828416,0.0011859884141670852
356637,5224,2021,Washington,7512465,WA,0.047472700371981764,0.0006953776157359802
137092,2600,2021,West Virginia,1807426,WV,0.0758493017141504,0.0014385097923787751
628634,7225,2021,Wisconsin,5806975,WI,0.10825498646024824,0.0012441934053444349
55581,693,2021,Wyoming,581348,WY,0.09560710624273241,0.0011920570811286872
511087,10436,2021,Alabama,4893186,AL,0.1044487170526524,0.0021327617629904117
60683,296,2021,Alaska,736990,AK,0.08233897339176922,0.0004016336720986716
835765,16733,2021,Arizona,7174064,AZ,0.11649812435461965,0.0023324297079033583
328547,5533,2021,Arkansas,3011873,AR,0.10908394875879561,0.0018370628509236612
3640830,57495,2021,California,39346023,CA,0.09253362150477064,0.0014612658565263381
452174,6148,2021,Colorado,5684926,CO,0.0795391180113866,0.0010814564692662666
296691,7832,2021,Connecticut,3570549,CT,0.08309394437662107,0.0021935002152330078
91942,1526,2021,Delaware,967679,DE,0.0950129123397325,0.0015769692222317524
